reg_code	group_label	WATER_NAME	pop_label	pop_color
BSAT	Blueback - S. Atlantic	Lake Hartwell	L. Hartwell	"#e31a1c"
BSAT	Blueback - S. Atlantic	Lake Yonah	L. Yonah	"green4"
BCAN	Blueback - Canada	Petitcodiac River	Petitcodiac R.	"maroon"
BSAT	Blueback - S. Atlantic	Altamaha River	Altamaha R.	"dodgerblue2"
BMAT	Blueback - Mid-Atlantic	Hudson River	Hudson R.	"gold1"
HMAT	Hybrid - Mid Atlantic	Roanoke River	Roanoke R.	"#6a3d94"
GRT	Great Lakes	Lake Superior	L. Superior	"darkorange4"
GRT	Great Lakes	Lake Michigan	L. Michigan	"yellow3"
GRT	Great Lakes	Lake Ontario	L. Ontario	"yellow4"
FIN	Finger Lakes	Canandaigua Lake	Canandaigua L.	"green1"
FIN	Finger Lakes	Cayuga Lake	Cayuga L.	"steelblue4"
FIN	Finger Lakes	Otisco Lake	Otisco L.	"blue1"
FIN	Finger Lakes	Seneca Lake	Seneca L.	"darkturquoise"
SNE	S. New England	Rogers Lake	Rogers L.	"palegreen2"
SNE	S. New England	Pattagansett Lake	Pattagansett L.	"#cab2d6"
SNE	S. New England	Quonnipaug Lake	Quonnipaug L.	"#fb9a99"
NNE	N. New England	East Grand Lake	East Grand L.	"khaki2"
CAN	Canada	Lake Champlain	L. Champlain	"deeppink1"
CAN	Canada	Miramichi River	Miramichi R.	"orchid1"
NNE	N. New England	Saco River	Saco R.	"#fdbf6f"
MAT	Mid-Atlantic	Hudson River	Hudson R.	"gold1"
MAT	Mid-Atlantic	Black Creek	Black C.	"skyblue2"
MAT	Mid-Atlantic	Choptank River	Choptank R.	"#ff7f00"
