sample,NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,GENUS,SPECIES,STATE_F,WATERSHED,WATER_NAME,grouping_v3,PCA_cluster,region
s0001,AP027197,AP287,2A,LHAR_0024,4442,Alosa,aestivalis,Georgia,Savannah River,Lake Hartwell,BLUE,BLU,BSAT
s0002,AP027199,AP287,2C,LYON_0010,4442,Alosa,aestivalis,Georgia,Savannah River,Lake Yonah,BLUE,BLU,BSAT
s0003,AP027200,AP287,2D,LYON_0038,4442,Alosa,aestivalis,Georgia,Savannah River,Lake Yonah,BLUE,BLU,BSAT
s0004,AP027210,AP287,3F,OL_0004,4478,Alosa,pseudoharengus,New York,Finger Lakes,Otisco Lake,FINL,LGL,FIN
s0005,AP027216,AP287,4D,SL_0039,4478,Alosa,pseudoharengus,New York,Finger Lakes,Seneca Lake,FINL,LGL,FIN
s0006,AP027217,AP287,4E,SL_0042,4478,Alosa,pseudoharengus,New York,Finger Lakes,Seneca Lake,FINL,LGL,FIN
s0007,AP027227,AP287,5G,04EGRA_0018,4478,Alosa,pseudoharengus,Maine,St. Croix River,East Grand Lake,MIDL,WRD,CAN-NNE
s0008,AP027229,AP287,6A,P13,4478,Alosa,pseudoharengus,Connecticut,Pattagansett River,Pattagansett Lake,CONL,CST,SNE
s0009,AP027247,AP287,8C,KLVA10,4478,Alosa,hybrid,North Carolina,Roanoke River,Roanoke River,HYBR,WRD,HMAT
s0010,AP027249,AP287,8E,14LO_0007,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0011,AP027250,AP287,8F,14LO_0012,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0012,AP027255,AP287,9C,LS_0001,4478,Alosa,pseudoharengus,Wisconsin,Great Lakes,Lake Superior,GRTL,LGL,GRT
s0013,AP028629,AP302,1A,OL_0003,4478,Alosa,pseudoharengus,New York,Finger Lakes,Otisco Lake,FINL,LGL,FIN
s0014,AP028630,AP302,1B,OL_0008,4478,Alosa,pseudoharengus,New York,Finger Lakes,Otisco Lake,FINL,LGL,FIN
s0015,AP028631,AP302,1C,OL_0009,4478,Alosa,pseudoharengus,New York,Finger Lakes,Otisco Lake,FINL,LGL,FIN
s0016,AP028632,AP302,1D,SL_0040,4478,Alosa,pseudoharengus,New York,Finger Lakes,Seneca Lake,FINL,LGL,FIN
s0017,AP028634,AP302,1F,156,5618,Alosa,pseudoharengus,New York,Finger Lakes,Cayuga Lake,FINL,LGL,FIN
s0018,AP028635,AP302,1G,157,5618,Alosa,pseudoharengus,New York,Finger Lakes,Cayuga Lake,FINL,LGL,FIN
s0019,AP028636,AP302,1H,161,5618,Alosa,pseudoharengus,New York,Finger Lakes,Cayuga Lake,FINL,LGL,FIN
s0020,AP028637,AP302,2A,162,5618,Alosa,pseudoharengus,New York,Finger Lakes,Cayuga Lake,FINL,LGL,FIN
s0021,AP028639,AP302,2C,CL_0010,4478,Alosa,pseudoharengus,New York,Finger Lakes,Canandaigua Lake,FINL,LGL,FIN
s0022,AP028640,AP302,2D,CL_0011,4478,Alosa,pseudoharengus,New York,Finger Lakes,Canandaigua Lake,FINL,LGL,FIN
s0023,AP028641,AP302,2E,CL_0012,4478,Alosa,pseudoharengus,New York,Finger Lakes,Canandaigua Lake,FINL,LGL,FIN
s0024,AP028642,AP302,2F,UVM_0008,4478,Alosa,pseudoharengus,Vermont,St. Lawrence River,Lake Champlain,MIDL,WRD,CAN-NNE
s0025,AP028643,AP302,2G,UVM_0009,4478,Alosa,pseudoharengus,Vermont,St. Lawrence River,Lake Champlain,MIDL,WRD,CAN-NNE
s0026,AP028644,AP302,2H,UVM_0010,4478,Alosa,pseudoharengus,Vermont,St. Lawrence River,Lake Champlain,MIDL,WRD,CAN-NNE
s0027,AP028645,AP302,3A,UVM_0011,4478,Alosa,pseudoharengus,Vermont,St. Lawrence River,Lake Champlain,MIDL,WRD,CAN-NNE
s0028,AP028646,AP302,3B,UVM_0012,4478,Alosa,pseudoharengus,Vermont,St. Lawrence River,Lake Champlain,MIDL,WRD,CAN-NNE
s0029,AP028647,AP302,3C,LS_0003,4478,Alosa,pseudoharengus,Wisconsin,Great Lakes,Lake Superior,GRTL,LGL,GRT
s0030,AP028648,AP302,3D,14LO_0001,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0031,AP028650,AP302,3F,14LO_0003,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0032,AP028651,AP302,3G,14LO_0004,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0033,AP028652,AP302,3H,14LO_0005,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0034,AP028653,AP302,4A,14LO_0006,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0035,AP028654,AP302,4B,14LO_0008,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0036,AP028655,AP302,4C,14LO_0009,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0037,AP028656,AP302,4D,14LO_0010,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0038,AP028657,AP302,4E,14LO_0011,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0039,AP028659,AP302,4G,14LM_0002,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
s0040,AP028662,AP302,5B,14LM_0005,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
s0041,AP028663,AP302,5C,14LM_0006,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
s0042,AP028664,AP302,5D,14LM_0007,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
s0043,AP028665,AP302,5E,14LM_0008,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
