sample,NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,GENUS,SPECIES,STATE_F,WATERSHED,WATER_NAME,wn_abbr,region,ndata,nfiltered,nmiss,fmiss,nsites,depth
s0001,AP027197,AP287,2A,LHAR_0024,4442,Alosa,aestivalis,Georgia,Savannah River,Lake Hartwell,HAR,BSAT,11884669,0,5250748,0.441809,11831722,4.07763
s0002,AP027199,AP287,2C,LYON_0010,4442,Alosa,aestivalis,Georgia,Savannah River,Lake Yonah,YON,BSAT,11884669,0,5997629,0.504653,11830975,2.8758
s0003,AP027200,AP287,2D,LYON_0038,4442,Alosa,aestivalis,Georgia,Savannah River,Lake Yonah,YON,BSAT,11884669,0,5603213,0.471466,11835139,3.80747
s0004,AP027210,AP287,3F,OL_0004,4478,Alosa,pseudoharengus,New York,Finger Lakes,Otisco Lake,OTI,FIN,11884669,0,2054156,0.172841,11879678,3.62088
s0005,AP027216,AP287,4D,SL_0039,4478,Alosa,pseudoharengus,New York,Finger Lakes,Seneca Lake,SEN,FIN,11884669,0,1160773,0.0976698,11880456,6.88228
s0006,AP027217,AP287,4E,SL_0042,4478,Alosa,pseudoharengus,New York,Finger Lakes,Seneca Lake,SEN,FIN,11884669,0,2226772,0.187365,11880250,3.20697
s0007,AP027227,AP287,5G,04EGRA_0018,4478,Alosa,pseudoharengus,Maine,St. Croix River,East Grand Lake,EGL,CAN-NNE,11884669,0,2211566,0.186086,11880970,3.60373
s0008,AP027229,AP287,6A,P13,4478,Alosa,pseudoharengus,Connecticut,Pattagansett River,Pattagansett Lake,PAT,SNE,11884669,0,1548240,0.130272,11880014,4.47809
s0009,AP027247,AP287,8C,KLVA10,4478,Alosa,pseudoharengus,North Carolina,Roanoke River,Roanoke River,ROAN,MAT,11884669,0,2470074,0.207837,11879769,2.96245
s0010,AP027249,AP287,8E,14LO_0007,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,ONT,GRT,11884669,0,4030833,0.339162,11882190,2.00379
s0011,AP027250,AP287,8F,14LO_0012,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,ONT,GRT,11884669,0,2072624,0.174395,11879815,3.56158
s0012,AP027255,AP287,9C,LS_0001,4478,Alosa,pseudoharengus,Wisconsin,Great Lakes,Lake Superior,SUP,GRT,11884669,0,2077583,0.174812,11879923,3.51081
s0013,AP028629,AP302,1A,OL_0003,4478,Alosa,pseudoharengus,New York,Finger Lakes,Otisco Lake,OTI,FIN,11884669,0,2554341,0.214927,11880943,3.19219
s0014,AP028630,AP302,1B,OL_0008,4478,Alosa,pseudoharengus,New York,Finger Lakes,Otisco Lake,OTI,FIN,11884669,0,2605335,0.219218,11880607,2.90809
s0015,AP028631,AP302,1C,OL_0009,4478,Alosa,pseudoharengus,New York,Finger Lakes,Otisco Lake,OTI,FIN,11884669,0,1747137,0.147008,11879620,4.38674
s0016,AP028632,AP302,1D,SL_0040,4478,Alosa,pseudoharengus,New York,Finger Lakes,Seneca Lake,SEN,FIN,11884669,0,2765386,0.232685,11880936,2.68294
s0017,AP028634,AP302,1F,156,5618,Alosa,pseudoharengus,New York,Finger Lakes,Cayuga Lake,CAY,FIN,11884669,0,2531395,0.212997,11881228,3.28394
s0018,AP028635,AP302,1G,157,5618,Alosa,pseudoharengus,New York,Finger Lakes,Cayuga Lake,CAY,FIN,11884669,0,2698895,0.22709,11880772,2.88135
s0019,AP028636,AP302,1H,161,5618,Alosa,pseudoharengus,New York,Finger Lakes,Cayuga Lake,CAY,FIN,11884669,0,1945073,0.163662,11879744,3.75424
s0020,AP028637,AP302,2A,162,5618,Alosa,pseudoharengus,New York,Finger Lakes,Cayuga Lake,CAY,FIN,11884669,0,2653126,0.223239,11881273,2.96164
s0021,AP028639,AP302,2C,CL_0010,4478,Alosa,pseudoharengus,New York,Finger Lakes,Canandaigua Lake,CAN,FIN,11884669,0,2356513,0.198282,11880558,3.23145
s0022,AP028640,AP302,2D,CL_0011,4478,Alosa,pseudoharengus,New York,Finger Lakes,Canandaigua Lake,CAN,FIN,11884669,0,3131071,0.263455,11882175,2.72571
s0023,AP028641,AP302,2E,CL_0012,4478,Alosa,pseudoharengus,New York,Finger Lakes,Canandaigua Lake,CAN,FIN,11884669,0,2932079,0.246711,11881440,2.63908
